x,y,path
3.44312,6.25543,101
5,5,101
23.7005,27.6221,102
21.7685,28.1389,102
19.9424,28.9547,102
18.0006,29.4336,102
16.1118,28.7759,102
14.1142,28.6791,102
12.8613,27.1201,102
10.9296,26.6021,102
9.97917,24.8424,102
10.0019,22.8425,102
8.03141,22.4999,102
6.3001,21.4986,102
4.90335,20.0672,102
4.0225,18.2716,102
4.94863,16.4989,102
2.99926,16.0518,102
3.95235,14.2935,102
2.15761,13.4109,102
2.66634,11.4767,102
2.09181,9.56098,102
1.93345,7.56726,102
3.44312,6.25543,102
5,5,102
11.9361,28.8933,103
12.8613,27.1201,103
10.9296,26.6021,103
9.97917,24.8424,103
10.0019,22.8425,103
8.03141,22.4999,103
6.3001,21.4986,103
4.90335,20.0672,103
4.0225,18.2716,103
4.94863,16.4989,103
2.99926,16.0518,103
3.95235,14.2935,103
2.15761,13.4109,103
2.66634,11.4767,103
2.09181,9.56098,103
1.93345,7.56726,103
3.44312,6.25543,103
5,5,103
23.8698,27.6519,104
24.1315,25.6691,104
23.7005,27.6221,104
21.7685,28.1389,104
19.9424,28.9547,104
18.0006,29.4336,104
16.1118,28.7759,104
14.1142,28.6791,104
12.8613,27.1201,104
10.9296,26.6021,104
9.97917,24.8424,104
10.0019,22.8425,104
8.03141,22.4999,104
6.3001,21.4986,104
4.90335,20.0672,104
4.0225,18.2716,104
4.94863,16.4989,104
2.99926,16.0518,104
3.95235,14.2935,104
2.15761,13.4109,104
2.66634,11.4767,104
2.09181,9.56098,104
1.93345,7.56726,104
3.44312,6.25543,104
5,5,104
10,31,105
11.9361,28.8933,105
12.8613,27.1201,105
10.9296,26.6021,105
9.97917,24.8424,105
10.0019,22.8425,105
8.03141,22.4999,105
6.3001,21.4986,105
4.90335,20.0672,105
4.0225,18.2716,105
4.94863,16.4989,105
2.99926,16.0518,105
3.95235,14.2935,105
2.15761,13.4109,105
2.66634,11.4767,105
2.09181,9.56098,105
1.93345,7.56726,105
3.44312,6.25543,105
5,5,105
19.0412,30.9918,106
20.6398,29.79,106
21.7685,28.1389,106
19.9424,28.9547,106
18.0006,29.4336,106
16.1118,28.7759,106
14.1142,28.6791,106
12.8613,27.1201,106
10.9296,26.6021,106
9.97917,24.8424,106
10.0019,22.8425,106
8.03141,22.4999,106
6.3001,21.4986,106
4.90335,20.0672,106
4.0225,18.2716,106
4.94863,16.4989,106
2.99926,16.0518,106
3.95235,14.2935,106
2.15761,13.4109,106
2.66634,11.4767,106
2.09181,9.56098,106
1.93345,7.56726,106
3.44312,6.25543,106
5,5,106
23.1382,29.5414,107
23.7005,27.6221,107
21.7685,28.1389,107
19.9424,28.9547,107
18.0006,29.4336,107
16.1118,28.7759,107
14.1142,28.6791,107
12.8613,27.1201,107
10.9296,26.6021,107
9.97917,24.8424,107
10.0019,22.8425,107
8.03141,22.4999,107
6.3001,21.4986,107
4.90335,20.0672,107
4.0225,18.2716,107
4.94863,16.4989,107
2.99926,16.0518,107
3.95235,14.2935,107
2.15761,13.4109,107
2.66634,11.4767,107
2.09181,9.56098,107
1.93345,7.56726,107
3.44312,6.25543,107
5,5,107
23.8698,27.6519,108
24.1315,25.6691,108
23.7005,27.6221,108
21.7685,28.1389,108
19.9424,28.9547,108
18.0006,29.4336,108
16.1118,28.7759,108
14.1142,28.6791,108
12.8613,27.1201,108
10.9296,26.6021,108
9.97917,24.8424,108
10.0019,22.8425,108
8.03141,22.4999,108
6.3001,21.4986,108
4.90335,20.0672,108
4.0225,18.2716,108
4.94863,16.4989,108
2.99926,16.0518,108
3.95235,14.2935,108
2.15761,13.4109,108
2.66634,11.4767,108
2.09181,9.56098,108
1.93345,7.56726,108
3.44312,6.25543,108
5,5,108
17.0716,31.3393,109
19.0412,30.9918,109
20.6398,29.79,109
21.7685,28.1389,109
19.9424,28.9547,109
18.0006,29.4336,109
16.1118,28.7759,109
14.1142,28.6791,109
12.8613,27.1201,109
10.9296,26.6021,109
9.97917,24.8424,109
10.0019,22.8425,109
8.03141,22.4999,109
6.3001,21.4986,109
4.90335,20.0672,109
4.0225,18.2716,109
4.94863,16.4989,109
2.99926,16.0518,109
3.95235,14.2935,109
2.15761,13.4109,109
2.66634,11.4767,109
2.09181,9.56098,109
1.93345,7.56726,109
3.44312,6.25543,109
5,5,109
19.0412,30.9918,110
20.6398,29.79,110
21.7685,28.1389,110
19.9424,28.9547,110
18.0006,29.4336,110
16.1118,28.7759,110
14.1142,28.6791,110
12.8613,27.1201,110
10.9296,26.6021,110
9.97917,24.8424,110
10.0019,22.8425,110
8.03141,22.4999,110
6.3001,21.4986,110
4.90335,20.0672,110
4.0225,18.2716,110
4.94863,16.4989,110
2.99926,16.0518,110
3.95235,14.2935,110
2.15761,13.4109,110
2.66634,11.4767,110
2.09181,9.56098,110
1.93345,7.56726,110
3.44312,6.25543,110
